SSID,,,,,,latitude,longitude,
Public_WiFi,,,,,,37.322304,126.832089,
Public_WiFi,,,,,,37.322304,126.832089,
Public_WiFi,,,,,,37.322304,126.832089,
Public_WiFi,,,,,,37.310356,126.866182,
Public_WiFi,,,,,,37.305387,126.860785,
Public_WiFi,,,,,,37.297103,126.850993,
Public_WiFi,,,,,,37.289835,126.851878,
Public_WiFi,,,,,,37.297103,126.850993,
Public_WiFi,,,,,,37.285153,126.864309,
Public_WiFi,,,,,,37.296205,126.872356,
Public_WiFi,,,,,,37.301426,126.863847,
Public_WiFi,,,,,,37.331852,126.861021,
Public_WiFi,,,,,,37.333515,126.856595,
Public_WiFi,,,,,,37.320615,126.849534,
Public_WiFi,,,,,,37.305972,126.902308,
Public_WiFi,,,,,,37.361838,126.87327,
Public_WiFi,,,,,,37.341608,126.825653,
Public_WiFi,,,,,,37.327175,126.819111,
Public_WiFi,,,,,,37.323944,126.837617,
Public_WiFi,,,,,,37.310269,126.82439,
Public_WiFi,,,,,,37.333234,126.7909,
Public_WiFi,,,,,,37.32791,126.796958,
Public_WiFi,,,,,,37.331555,126.801877,
Public_WiFi,,,,,,37.334306,126.804456,
Public_WiFi,,,,,,37.338527,126.802707,
Public_WiFi,,,,,,37.344951,126.812649,
Public_WiFi,,,,,,37.243536,126.585092,
Public_WiFi,,,,,,37.300555,126.844525,
Public_WiFi,,,,,,37.332137,126.79014,
Public_WiFi,,,,,,37.334973,126.807176,
Public_WiFi,,,,,,37.299604,126.86251,
Public_WiFi,,,,,,37.314345,126.859907,
Public_WiFi,,,,,,37.276838,126.837926,
Public_WiFi,,,,,,37.314345,126.859907,
Public_WiFi,,,,,,37.329635,126.845883,
Public_WiFi,,,,,,37.309933,126.816824,
,,,,,,36.3172002,126.514525,
,,,,,,36.3492674,126.596682,
,,,,,,36.240691,126.681069,
,,,,,,36.3245106,126.60237,
,,,,,,36.3046178,126.605036,
,,,,,,36.3507129,126.590526,
,,,,,,36.3509053,126.593042,
,,,,,,36.3500723,126.595074,
,,,,,,36.3498344,126.595053,
,,,,,,36.3561064,126.611305,
,,,,,,36.3328115,126.611305,
,,,,,,36.3404961,126.600867,
,,,,,,36.2106148,126.676453,
,,,,,,36.21067,126.676898,
,,,,,,36.2903418,126.675278,
,,,,,,36.3360941,126.651368,
,,,,,,36.3355639,126.651237,
,,,,,,36.4383921,126.522412,
,,,,,,36.4387325,126.521884,
,,,,,,36.2319887,126.601557,
,,,,,,36.2345179,126.596868,
,,,,,,36.3896427,126.569795,
,,,,,,36.3908484,126.569271,
,,,,,,36.3908484,126.569271,
,,,,,,36.1983589,126.631699,
,,,,,,36.4151016,126.587958,
,,,,,,36.4151016,126.587958,
,,,,,,36.4787472,126.52728,
,,,,,,36.4787472,126.52728,
,,,,,,36.3894076,126.673026,
,,,,,,36.3904581,126.673601,
,,,,,,36.4472671,126.590398,
,,,,,,36.3264735,126.508832,
,,,,,,36.2485417,126.536795,
,,,,,,36.4061364,126.60929,
,,,,,,36.351249,126.600892,
,,,,,,36.3473652,126.611366,
,,,,,,36.3424913,126.589678,
,,,,,,36.2386694,126.693723,
,,,,,,36.3413973,126.59978,
,,,,,,36.3116301,126.5493,
,,,,,,36.1811297,126.593273,
,,,,,,36.2768422,126.567196,
,,,,,,36.3802397,126.432118,
,,,,,,36.5028216,126.518976,
,,,,,,36.4205163,126.662793,
,,,,,,36.3752004,126.583475,
,,,,,,36.1983589,126.631699,
,,,,,,36.2236603,126.550334,
,,,,,,36.3833525,126.43329,
,,,,,,36.3534103,126.589781,
,,,,,,36.3192306,126.523719,
,,,,,,36.397027,126.571342,
,,,,,,36.3425521,126.603428,
,,,,,,36.3505615,126.600098,
,,,,,,36.3266555,126.650867,
,,,,,,36.3519472,126.597337,
,,,,,,36.3273042,126.509232,
,,,,,,36.3494094,126.59625,
,,,,,,36.3764278,126.585028,
,,,,,,36.445451,126.589538,
,,,,,,36.3518851,126.597084,
,,,,,,36.3562381,126.604187,
,,,,,,36.3503386,126.600287,
,,,,,,36.3522671,126.603516,
,,,,,,36.3467402,126.659328,
,,,,,,36.3305279,126.651184,
,,,,,,36.2695398,126.616008,
,,,,,,36.3904982,126.673757,
,,,,,,36.4211942,126.539801,
,,,,,,36.4562943,126.498202,
,,,,,,36.3168141,126.528838,
,,,,,,36.4390774,126.519807,
,,,,,,36.3284947,126.505086,
Public WiFi Free,,,,,,36.3513478,126.600938,
Boryeong_wifi_free,,,,,,36.357757,126.608565,
,,,,,,37.20988853,127.0586455,
Public WiFi Free,,,,,,37.13208568,126.9081248,
Public WiFi Free,,,,,,37.21371479,126.7382567,
t wifi zon,,,,,,37.21777104,126.7389749,
Public WiFi Free,,,,,,37.11433582,126.8796364,
Public WiFi Free,,,,,,37.08220239,126.8161686,
Public WiFi Free,,,,,,37.08278132,126.8176068,
t wifi zon,,,,,,37.22429881,126.9846737,
ollehwifi,,,,,,37.22429881,126.9846737,
Public WiFi Free,,,,,,37.11625361,126.6817315,
Public WiFi Free,,,,,,37.20897206,126.8186364,
Public WiFi Free,,,,,,37.20829178,126.8168896,
Public WiFi Free,,,,,,37.20969513,126.8185361,
,,,,,,37.20638552,127.0718904,
Public WiFi@Seodaemun,,,,,,37.5790758,126.936794,
Public WiFi@Seodaemun,,,,,,37.5809687,126.9368566,
Public WiFi@Seodaemun,,,,,,37.5785493,126.9362252,
Public WiFi@Seodaemun,,,,,,37.5760083,126.954311,
Public WiFi@Seodaemun,,,,,,37.5765663,126.9376126,
Public WiFi@Seodaemun,,,,,,37.5696141,126.961293,
Public WiFi@Seodaemun,,,,,,37.5989056,126.9471111,
Public WiFi@Seodaemun,,,,,,37.5801972,126.9342509,
Public WiFi@Seodaemun,,,,,,37.5876988,126.9448779,
Public WiFi@Seodaemun,,,,,,37.586107,126.949338,
Public WiFi@Seodaemun,,,,,,37.5938154,126.9497,
Public WiFi@Seodaemun,,,,,,37.5708753,126.9164984,
Public WiFi@Seodaemun,,,,,,37.5784658,126.9238889,
Public WiFi@Seodaemun,,,,,,37.5743059,126.9102097,
Public WiFi@Seodaemun,,,,,,37.5815,126.9112,
Public WiFi@Seodaemun,,,,,,37.5739083,126.9351754,
Public WiFi@Seodaemun,,,,,,37.5595583,126.9435096,
Public WiFi@Seodaemun,,,,,,37.5595,126.957025,
Public WiFi@Seodaemun,,,,,,37.5648266,126.9546863,
Public WiFi@Seodaemun,,,,,,37.5711189,126.9590509,
Public WiFi@Seodaemun,,,,,,37.5932285,126.9438879,
Public WiFi@Seodaemun,,,,,,37.5693512,126.9309296,
Public WiFi@Seodaemun,,,,,,37.5578022,126.9395129,
Public WiFi@Seodaemun,,,,,,37.5629076,126.9623752,
Public WiFi@Seodaemun,,,,,,37.583167,126.94845,
Public WiFi@Seodaemun,,,,,,37.5794903,126.9380164,
,,,,,,36.2830974,128.0925686,
,,,,,,36.4155311,128.1540955,
,,,,,,36.413401,128.1606886,
,,,,,,36.4164612,128.1501593,
,,,,,,36.4164612,128.1501593,
,,,,,,36.3397774,128.1319272,
,,,,,,36.5691024,128.1784382,
,,,,,,36.4476906,127.9060238,
,,,,,,36.5593337,127.9204549,
,,,,,,36.4019912,128.1503589,
,,,,,,36.4019912,128.1503589,
,,,,,,36.4019912,128.1503589,
,,,,,,36.4117055,128.2234121,
,,,,,,36.4117055,128.2234121,
,,,,,,36.4145302,128.1562221,
,,,,,,36.444256,128.1496424,
,,,,,,36.444256,128.1496424,
,,,,,,36.4421594,128.1548847,
,,,,,,36.4421594,128.1548847,
,,,,,,36.4421594,128.1548847,
,,,,,,36.4213756,128.1502187,
,,,,,,36.4184857,128.1605911,
,,,,,,36.4071106,128.1622544,
,,,,,,36.4071106,128.1622544,
